メッセージID,ルールID,機能ID,推奨機能,機能カテゴリ,操作特性,推奨ロジック,シーン説明,メッセージテンプレート,対応方針,優先度
MSG_CALL_001,R001,FN001,ACC,運転支援,一度ONで継続,初回のみ推奨,渋滞時・初心者・未使用,【推奨回答】渋滞追従機能は、渋滞時にブレーキとアクセルの操作を自動化します。低速で安全に練習できるため、初めての方にもお勧めです。ステアリングの右側にあるスイッチで操作できます,丁寧に説明・操作方法を詳しく,高
MSG_CALL_002,R004,FN003,PVM,駐車支援,都度操作,毎回推奨,駐車場・初心者・未使用,【推奨回答】パノラミックビューモニターは、車を上から見たように表示します。ディスプレイオーディオの「カメラ」ボタンを押すと表示されます。狭い場所でも安心して駐車できます,丁寧に説明・操作方法を詳しく,高
MSG_CALL_003,R005,FN005,オートハイビーム,視認支援,一度ONで継続,初回のみ推奨,夜間一般道・初心者・未使用,【推奨回答】オートハイビームは、対向車を検知して自動でハイビームとロービームを切り替えます。ステアリング左側のレバーを前方に押すと有効になります。操作不要で安全性が向上します,丁寧に説明・操作方法を詳しく,高
MSG_CALL_004,R009,FN002,LKA,運転支援,一度ONで継続,初回のみ推奨,高速道路・中級者・初回体験済み,【推奨回答】レーンキープアシストは以前使われましたね。高速道路での疲労軽減に効果的です。何かご不明な点はございますか？,フォローアップ・不明点確認,中
MSG_CALL_005,R010,FN001,ACC,運転支援,一度ONで継続,初回のみ推奨,雨天渋滞・初心者・未使用,【推奨回答】雨の日の渋滞は疲れますね。渋滞追従機能を使うと、ブレーキとアクセルの操作が自動化されます。低速なので安全に試せます,丁寧に説明・共感を示す,中
MSG_CALL_006,R012,FN007,シートヒーター,快適機能,都度操作,毎回推奨,冬季・一般道・初心者・未使用,【推奨回答】シートヒーターは、座面と背もたれを温めます。シート横のスイッチで3段階に調整できます。冬季の快適性向上と腰痛予防に効果的です,丁寧に説明・操作方法を詳しく,中
MSG_CALL_007,R013,FN008,ステアリングヒーター,快適機能,都度操作,毎回推奨,冬季・一般道・初心者・未使用,【推奨回答】ステアリングヒーターは、ステアリングを温めます。ステアリング横のスイッチで操作できます。冬季の快適性向上に効果的です,丁寧に説明・操作方法を詳しく,中
MSG_CALL_008,R015,FN009,パワーバックドア,便利機能,都度操作,毎回推奨,買い物・初心者・未使用,【推奨回答】パワーバックドアは、スマートキーのボタンを長押しすると自動で開きます。荷物で両手がふさがっている時も便利です。車内からも開閉ボタンで操作できます,丁寧に説明・操作方法を詳しく,高
MSG_CALL_009,R021,FN009,パワーバックドア,便利機能,都度操作,毎回推奨,買い物・中級者・未使用,【推奨回答】パワーバックドアは、スマートキーのボタンを長押しすると自動で開きます。買い物で荷物が多い時に便利です,要点を説明,高
MSG_CALL_010,R026,FN002,LKA,運転支援,一度ONで継続,定着促進推奨,高速道路・中級者・初回体験済み,【推奨回答】レーンキープアシストは以前使われましたね。定着させるため、もう一度試してみませんか？高速道路での疲労軽減に効果的です,フォローアップ・定着促進,中
