メッセージID,ルールID,機能ID,推奨機能,機能カテゴリ,操作特性,推奨ロジック,シーン説明,メッセージテンプレート,チャネル,優先度
MSG_DRIVER_001,R001,FN001,ACC,運転支援,一度ONで継続,初回のみ推奨,渋滞時・初心者・未使用,渋滞が始まりました。渋滞追従機能を使うと、ブレーキとアクセルの操作が自動化され、疲労が軽減されます。低速で安全に練習できます。試してみますか？,音声+画面,高
MSG_DRIVER_002,R004,FN003,PVM,駐車支援,都度操作,毎回推奨,駐車場・初心者・未使用,駐車場に入りました。パノラミックビューモニターを使うと、車の周囲を上から見たように確認できます。狭い場所でも安心です。試してみますか？,音声+画面,高
MSG_DRIVER_003,R005,FN005,オートハイビーム,視認支援,一度ONで継続,初回のみ推奨,夜間一般道・初心者・未使用,夜間走行中です。オートハイビームを使うと、対向車を検知して自動でハイビームとロービームを切り替えてくれます。操作不要で安全性が向上します。有効にしますか？,音声+画面,高
MSG_DRIVER_004,R009,FN002,LKA,運転支援,一度ONで継続,初回のみ推奨,高速道路・中級者・初回体験済み,レーンキープアシストを試してみませんか？高速道路での疲労軽減に効果的です,音声+画面,中
MSG_DRIVER_005,R010,FN001,ACC,運転支援,一度ONで継続,初回のみ推奨,雨天渋滞・初心者・未使用,雨の中の渋滞ですね。渋滞追従機能を使うと、ブレーキとアクセルの操作が自動化され、疲労が軽減されます。低速なので安全に試せます,音声+画面,中
MSG_DRIVER_006,R012,FN007,シートヒーター,快適機能,都度操作,毎回推奨,冬季・一般道・初心者・未使用,外気温が5℃です。シートヒーターを使うと、座面と背もたれが温まり、快適に運転できます。腰の疲労も軽減されます。ONにしますか？,音声+画面,中
MSG_DRIVER_007,R013,FN008,ステアリングヒーター,快適機能,都度操作,毎回推奨,冬季・一般道・初心者・未使用,外気温が3℃です。ステアリングヒーターを使うと、ステアリングが温まり、運転が快適になります。ONにしますか？,音声+画面,中
MSG_DRIVER_008,R014,FN005,オートハイビーム,視認支援,一度ONで継続,使用頻度低なら推奨,夜間一般道・中級者・使い慣れている,オートハイビームを有効にしますか？夜間の視認性が向上します,音声のみ,中
MSG_DRIVER_009,R015,FN009,パワーバックドア,便利機能,都度操作,毎回推奨,買い物・初心者・未使用,駐車しました。荷物の出し入れにパワーバックドアが便利です。スマートキーのボタンを長押しすると、自動で開きます。両手がふさがっている時も安心です,音声+画面,高
MSG_DRIVER_010,R017,FN003,PVM,駐車支援,都度操作,毎回推奨,夜間駐車場・初心者・未使用,夜間の駐車ですね。パノラミックビューモニターを使うと、暗い場所でも周囲を確認できます。試してみますか？,音声+画面,高
MSG_DRIVER_011,R020,FN010,デジタルインナーミラー,便利機能,都度操作,毎回推奨,長距離高速・初心者・未使用,デジタルインナーミラーを使ってみませんか？後席に荷物や人がいても、カメラ映像で後方がクリアに見えます。ミラー下部のスイッチで切り替えられます,音声+画面,中
MSG_DRIVER_012,R021,FN009,パワーバックドア,便利機能,都度操作,毎回推奨,買い物・中級者・未使用,買い物ですね。パワーバックドアを使うと、荷物を持ったままでもバックドアが自動で開きます。スマートキーのボタンを長押ししてください,音声+画面,高
MSG_DRIVER_013,R022,FN010,デジタルインナーミラー,便利機能,都度操作,毎回推奨,夜間長距離高速・初心者・未使用,夜間運転中です。デジタルインナーミラーに切り替えると、後方がより明るく見えます。ミラー下部のスイッチで切り替えられます,音声+画面,中
MSG_DRIVER_014,R023,FN011,リアシートリクライニング,快適機能,都度操作,毎回推奨,一般道・初心者・未使用,後席の方へ：リアシートはリクライニングできます。背もたれのレバーを引くと角度を調整できます。長距離でもゆったり過ごせます,画面のみ,中
MSG_DRIVER_015,R026,FN002,LKA,運転支援,一度ONで継続,定着促進推奨,高速道路・中級者・初回体験済み,レーンキープアシストを試してみませんか？以前も使われましたが、高速道路での疲労軽減に効果的です,音声+画面,中
MSG_DRIVER_016,R027,FN003,PVM,駐車支援,都度操作,毎回推奨,駐車場・中級者・未使用,パノラミックビューモニターを使ってみませんか？車を上から見たように表示されるので、狭い場所でも安心です,音声+画面,高
MSG_DRIVER_017,R028,FN009,パワーバックドア,便利機能,都度操作,毎回推奨,買い物・上級者・未使用,パワーバックドアを使ってみませんか？荷物が多い時に便利です,音声のみ,高
MSG_DRIVER_018,R029,FN007,シートヒーター,快適機能,都度操作,毎回推奨,長距離高速・中級者・未使用,長距離運転ですね。シートヒーターを使うと、腰の疲労軽減にも効果的です。使ってみますか？,音声+画面,中
MSG_DRIVER_019,R030,FN010,デジタルインナーミラー,便利機能,都度操作,毎回推奨,一般道・中級者・未使用,デジタルインナーミラーを使ってみませんか？後席に荷物や人がいても、カメラ映像で後方がクリアに見えます。ミラー下部のスイッチで切り替えられます,音声+画面,中
MSG_DRIVER_020,R031,FN001,ACC,運転支援,一度ONで継続,初回のみ推奨,深夜高速・初心者・未使用,深夜の高速運転ですね。ACCを使うと疲労軽減に効果的です。試してみますか？,音声+画面,中
MSG_DRIVER_021,R032,FN005,オートハイビーム,視認支援,一度ONで継続,初回のみ推奨,深夜一般道・初心者・未使用,深夜の運転です。オートハイビームを使うと、視認性が向上します。有効にしますか？,音声+画面,中
MSG_DRIVER_022,R033,FN005,オートハイビーム,視認支援,一度ONで継続,初回のみ推奨,霧高速・初心者・未使用,霧が出ています。オートハイビームを使うと、視認性が向上します。有効にしますか？,音声+画面,中
MSG_DRIVER_023,R036,FN012,シートクーラー,快適機能,都度操作,毎回推奨,夏季長距離高速・初心者・未使用,外気温が30℃を超えています。シートクーラーを使うと、座面が涼しくなり、快適に運転できます。ONにしますか？,音声+画面,中
MSG_DRIVER_024,R037,FN007,シートヒーター,快適機能,都度操作,毎回推奨,冬季晴れ・中級者・未使用,冬季の晴れた日です。シートヒーターを使うと快適です。ONにしますか？,音声+画面,中
MSG_DRIVER_025,R039,FN016,ハンズフリーパワーバックドア,便利機能,都度操作,毎回推奨,買い物・初心者・未使用,駐車しました。ハンズフリーパワーバックドアを使ってみませんか？リアバンパーの下に足をかざすだけで、自動でバックドアが開きます。荷物で両手がふさがっている時も便利です,音声+画面,最高
MSG_DRIVER_026,R040,FN016,ハンズフリーパワーバックドア,便利機能,都度操作,毎回推奨,買い物・中級者・未使用,買い物ですね。ハンズフリーパワーバックドアを使うと、足をかざすだけでバックドアが開きます。荷物を持ったままでも操作できます,音声+画面,最高
MSG_DRIVER_027,R041,FN016,ハンズフリーパワーバックドア,便利機能,都度操作,毎回推奨,買い物・上級者・未使用,ハンズフリーパワーバックドアが使えます。リアバンパー下に足をかざしてください,音声のみ,最高
