予測ID,顧客ステージID,直近の対応履歴タイプ,経過日数,顧客満足度,問い合わせ回数,予測スコア,予測される次のアクション,アクション実施タイミング,アクション実施方法,予測される顧客ニーズ,リスク・機会,推奨メッセージ,備考
PRED_001,STAGE_001,HIST_TYPE_001,3,普通,0,1.5,試乗案内,初回来店後3日,電話,実際の乗り心地を確認したい,機会：試乗で購買意欲向上,「先日はご来店ありがとうございました。実際に試乗していただくと、より具体的にイメージできると思います。ご都合の良い日時はございますか？」,試乗実施率70%で成約率が2倍に
PRED_002,STAGE_001,HIST_TYPE_001,7,普通,0,1.3,フォロー電話,初回来店後1週間,電話,検討状況の確認、疑問点の解消,リスク：他社に流れる可能性,「その後、ご検討状況はいかがでしょうか？何かご不明な点やご心配な点がございましたら、お気軽にお聞かせください。」,1週間以内のフォローで成約率1.5倍
PRED_003,STAGE_001,HIST_TYPE_001,14,普通,0,1.1,特別キャンペーン案内,初回来店後2週間,メール・電話,価格面での後押し,リスク：商談長期化、他社検討,「今月末までの特別キャンペーンをご案内いたします。この機会にぜひご検討ください。」,期限設定で決断促進
PRED_004,STAGE_002,HIST_TYPE_003,3,高,0,2.1,見積提示,試乗後3日以内,電話,具体的な価格を知りたい,機会：成約に最も近い,「試乗いかがでしたか？お気に召していただけたようでしたら、具体的なお見積りをご提示させていただきます。」,試乗後3日以内の見積提示で成約率60%
PRED_005,STAGE_002,HIST_TYPE_004,7,高,1,1.8,価格交渉フォロー,見積提示後1週間,電話,価格面での不安解消,機会：条件次第で成約,「お見積りの内容についてご検討いただけましたでしょうか？ご予算やご希望に合わせて、最適なプランをご提案いたします。」,価格交渉で成約率向上
PRED_006,STAGE_002,HIST_TYPE_004,14,普通,2,1.6,特別値引き提案,見積提示後2週間,電話,決断の後押し,リスク：商談長期化,「ご検討いただきありがとうございます。今回特別に、さらにお得なプランをご用意できました。」,特別条件提示で成約促進
PRED_007,STAGE_003,HIST_TYPE_005,3,高,0,1.8,納車日確定連絡,契約後3日,電話,納車日の確定、準備事項の確認,機会：期待感醸成,「ご契約ありがとうございます。納車日を○月○日で調整しております。ご準備いただく書類についてご説明します。」,納車までの期待感を高める
PRED_008,STAGE_003,HIST_TYPE_005,14,高,1,1.6,納車前確認,納車3日前,電話,最終確認、不安解消,リスク：納車直前の不安,「納車まであと3日となりました。最終確認として、ご不明な点やご心配な点はございませんか？」,納車時の満足度向上
PRED_009,STAGE_004,HIST_TYPE_006,7,高,0,1.9,1週間後フォロー電話,納車後1週間,電話,初期の使い方確認、不明点解消,機会：満足度向上,「納車後1週間が経ちましたが、お車の調子はいかがでしょうか？何かご不明な点はございませんか？」,初期フォローで満足度大幅向上
PRED_010,STAGE_004,HIST_TYPE_006,3,高,3,2.2,緊急フォロー訪問,問い合わせ後即日,訪問,トラブル対応、不安解消,リスク：満足度低下,「お困りのようですね。すぐにお伺いして確認させていただきます。」,迅速対応で信頼回復
PRED_011,STAGE_004,HIST_TYPE_007,21,高,0,1.5,1ヶ月点検案内,納車後3週間,電話・メール,初回点検の予約,機会：関係性維持,「納車後1ヶ月の無料点検のご案内です。お車の状態を確認させていただきます。ご都合の良い日時をお聞かせください。」,点検で関係性維持
PRED_012,STAGE_005,HIST_TYPE_008,150,高,0,1.4,6ヶ月点検案内,納車後5ヶ月,メール・DM,定期点検の予約,機会：メンテナンス収益,「6ヶ月点検のご案内です。季節の変わり目ですので、エアコンやタイヤの点検をおすすめします。」,定期点検で車両状態維持
PRED_013,STAGE_005,HIST_TYPE_009,330,高,0,1.5,12ヶ月点検案内,納車後11ヶ月,電話・メール,法定点検の予約,機会：法定点検収益,「12ヶ月法定点検のご案内です。法律で定められた点検ですので、必ず受けていただく必要があります。」,法定点検の重要性説明
PRED_014,STAGE_005,HIST_TYPE_014,30,非常に高,0,1.8,追加オプション提案,オプション購入後1ヶ月,電話・メール,さらなる快適性向上,機会：追加販売,「先日はオプションをご購入いただきありがとうございます。他にもおすすめの装備がございますので、ご案内させていただきます。」,満足度高い顧客への追加提案
PRED_015,STAGE_005,HIST_TYPE_015,7,非常に高,0,2.0,紹介キャンペーン案内,紹介後1週間,電話・郵送,紹介特典の案内,機会：紹介獲得,「この度はご紹介いただきありがとうございます。紹介特典として○○をご用意しております。今後ともよろしくお願いいたします。」,優良顧客への感謝とロイヤルティ向上
PRED_016,STAGE_006,HIST_TYPE_010,330,普通,0,1.3,定期点検案内,前回点検後11ヶ月,メール・DM,定期点検の予約,機会：継続的な関係維持,「定期点検の時期となりました。お車の状態を確認させていただきます。」,定期的な接触で関係維持
PRED_017,STAGE_006,HIST_TYPE_011,0,普通,1,1.2,使い方説明フォロー,問い合わせ後3日,電話,操作方法の再説明,機会：満足度向上,「先日はお問い合わせありがとうございました。その後、問題なくお使いいただけていますでしょうか？」,フォローで安心感提供
PRED_018,STAGE_006,HIST_TYPE_012,0,低,1,2.0,トラブル対応フォロー,トラブル対応後3日,電話,対応満足度確認,リスク：満足度低下,「先日のトラブル対応についてですが、その後問題なくお使いいただけていますでしょうか？何かご不安な点があればお聞かせください。」,迅速フォローで信頼回復
PRED_019,STAGE_007,HIST_TYPE_010,1095,普通,0,1.6,買い替え提案,納車後3年,電話・DM,次回購入の検討,機会：買い替え需要,「お車を購入されてから3年が経ちました。最新モデルは安全装備や燃費性能が大幅に向上しております。一度ご覧になりませんか？」,買い替えサイクルでの提案
