トラブル種別ID,トラブルカテゴリ,トラブル名称,重大度,緊急性スコア,説明,対応必要性
TRB_001,走行不能,エンジン始動不可,最高,1.0,エンジンが始動しない,即時対応必要
TRB_002,走行不能,走行中エンジン停止,最高,1.0,走行中にエンジンが停止した,即時対応必要
TRB_003,走行不能,ブレーキ異常,最高,1.0,ブレーキが効かない・異常,即時対応必要
TRB_004,走行不能,ステアリング異常,最高,1.0,ハンドル操作ができない,即時対応必要
TRB_005,走行不能,パンク・タイヤ損傷,高,0.9,タイヤがパンクした,即時対応必要
TRB_006,警告灯,エンジン警告灯,高,0.8,エンジン警告灯が点灯,早急な対応必要
TRB_007,警告灯,ブレーキ警告灯,高,0.85,ブレーキ警告灯が点灯,早急な対応必要
TRB_008,警告灯,バッテリー警告灯,高,0.75,バッテリー警告灯が点灯,早急な対応必要
TRB_009,警告灯,油圧警告灯,高,0.8,エンジンオイル圧力異常,早急な対応必要
TRB_010,警告灯,冷却水温警告灯,高,0.75,エンジン過熱の可能性,早急な対応必要
TRB_011,警告灯,ABS警告灯,中,0.6,ABSシステム異常,点検推奨
TRB_012,警告灯,エアバッグ警告灯,中,0.65,エアバッグシステム異常,点検推奨
TRB_013,異音・振動,エンジン異音,中,0.5,エンジンから異音がする,点検推奨
TRB_014,異音・振動,ブレーキ異音,中,0.6,ブレーキから異音がする,点検推奨
TRB_015,異音・振動,走行中の異音,中,0.45,走行中に異音がする,点検推奨
TRB_016,異音・振動,ハンドル振動,中,0.5,ハンドルが振動する,点検推奨
TRB_017,電装系,ライト点灯不良,中,0.55,ヘッドライトやテールランプが点灯しない,早めの対応推奨
TRB_018,電装系,ワイパー作動不良,中,0.4,ワイパーが動かない,早めの対応推奨
TRB_019,電装系,エアコン不調,低,0.3,エアコンが効かない,点検推奨
TRB_020,電装系,パワーウィンドウ不良,低,0.25,窓が開閉しない,点検推奨
TRB_021,快適性,異臭,低,0.35,車内に異臭がする,点検推奨
TRB_022,快適性,シート不良,低,0.2,シートが動かない,点検推奨
TRB_023,燃料系,燃料漏れ,高,0.9,燃料が漏れている,即時対応必要
TRB_024,燃料系,給油口開閉不良,低,0.3,給油口が開かない,点検推奨
TRB_025,ドア・窓,ドア開閉不良,中,0.4,ドアが開閉できない,早めの対応推奨
TRB_026,ドア・窓,ロック不良,中,0.45,ドアロックが効かない,早めの対応推奨
TRB_027,その他,バックドア開閉不良,低,0.35,バックドアが開閉できない,点検推奨
TRB_028,その他,ミラー不良,低,0.3,ミラーが動かない・調整できない,点検推奨
TRB_029,ADAS,ACC作動不良,中,0.5,ACCが作動しない,点検推奨
TRB_030,ADAS,LKA作動不良,中,0.5,LKAが作動しない,点検推奨
