判定ID,トラブル種別ID,トラブル名称,道路種別ID,天気環境ID,時間帯ID,同乗者ID,移動目的ID,移動距離ID,年齢層ID,運転頻度ID,車両タイプID,トラブル履歴ID,基本緊急性スコア,総合優先度スコア,優先度ランク,推奨対応時間,対応チャネル,備考,提供情報,行動誘導
J001,TRB_001,エンジン始動不可,ROAD_004,WEATHER_001,TIME_003,PASS_001,PURPOSE_006,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,1.0,0.63,高,30分以内,ロードサービス,駐車中のため緊急性やや低い,30分以内にロードサービスがお伺いします。バッテリーやスターターの可能性が高いです。,ロードサービス手配ボタンをタップして現在地を送信してください
J002,TRB_001,エンジン始動不可,ROAD_004,WEATHER_001,TIME_006,PASS_001,PURPOSE_004,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_003,1.0,0.88,高,30分以内,ロードサービス,深夜・初回トラブルで不安大,深夜のため不安かと思いますが、30分以内に専門スタッフが駆けつけます。落ち着いてお待ちください。,ロードサービス手配ボタンをタップしてください。到着までアプリで状況確認できます
J003,TRB_002,走行中エンジン停止,ROAD_002,WEATHER_001,TIME_003,PASS_001,PURPOSE_001,DIST_002,AGE_002,FREQ_001,VEH_TYPE_002,HIST_004,1.0,1.54,最高,即時,緊急ロードサービス,高速道路上のため最優先,【緊急】高速道路上で危険です。直ちにハザードランプを点けて路肩に寄せてください。緊急ロードサービスを即座に手配します。,「緊急対応」ボタンを押してください。自動的に110番と連携し最優先で対応します
J004,TRB_003,ブレーキ異常,ROAD_003,WEATHER_001,TIME_003,PASS_001,PURPOSE_001,DIST_001,AGE_001,FREQ_002,VEH_TYPE_002,HIST_004,1.0,1.73,最高,即時,緊急ロードサービス,高齢者・走行中のため最優先,【緊急】ブレーキに異常があります。速度を落とし、安全な場所に停車してください。緊急ロードサービスを即座に手配します。,「緊急停車ガイド」を表示します。指示に従って停車後、緊急対応ボタンを押してください
J005,TRB_005,パンク・タイヤ損傷,ROAD_002,WEATHER_001,TIME_003,PASS_001,PURPOSE_001,DIST_002,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.9,1.41,最高,20分以内,ロードサービス,高速道路上のため優先,高速道路上でのパンクです。路肩に安全に停車し、車外には出ないでください。20分以内にロードサービスが到着します。,「高速道路パンク対応」ガイドを表示します。読了後、ロードサービス手配ボタンを押してください
J006,TRB_005,パンク・タイヤ損傷,ROAD_007,WEATHER_001,TIME_003,PASS_001,PURPOSE_006,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.9,0.66,高,60分以内,ロードサービス,市街地・短距離,パンクを検知しました。60分以内にロードサービスがタイヤ交換にお伺いします。スペアタイヤの有無を確認してください。,ロードサービス手配ボタンを押してください。スペアタイヤ有無も選択してください
J007,TRB_006,エンジン警告灯,ROAD_003,WEATHER_001,TIME_003,PASS_001,PURPOSE_001,DIST_002,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.8,1.15,高,30分以内,ロードサービス,走行中のため早急対応,エンジン警告灯が点灯しています。走行継続は危険な可能性があります。30分以内にロードサービスが診断にお伺いします。,安全な場所に停車し、ロードサービス手配ボタンを押してください
J008,TRB_006,エンジン警告灯,ROAD_004,WEATHER_001,TIME_003,PASS_001,PURPOSE_006,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.8,0.45,中,2時間以内,コールセンター,停車中のため猶予あり,エンジン警告灯が点灯しています。2時間以内にコールセンターからご連絡し、症状を確認します。緊急性は低いですが点検が必要です。,「症状チェック」を実施してください。結果を送信するとコールセンターから連絡します
J009,TRB_007,ブレーキ警告灯,ROAD_002,WEATHER_001,TIME_003,PASS_005,PURPOSE_002,DIST_003,AGE_002,FREQ_001,VEH_TYPE_001,HIST_004,0.85,2.16,最高,即時,緊急ロードサービス,妊婦運転・高速走行中・業務,【最優先】ブレーキ警告灯が点灯しています。妊婦の方の運転で高速道路を走行中です。速やかに路肩に停車してください。緊急ロードサービスを即座に手配します。,「緊急対応」ボタンを押してください。代替交通手段の手配も同時に行います
J010,TRB_008,バッテリー警告灯,ROAD_003,WEATHER_001,TIME_003,PASS_001,PURPOSE_001,DIST_002,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.75,1.08,高,30分以内,ロードサービス,走行継続困難の可能性,バッテリー警告灯が点灯しています。エンジン停止の可能性があるため、30分以内にロードサービスがお伺いします。,安全な場所に停車してください。ロードサービス手配ボタンを押すと現在地を自動送信します
