No,企業・サービス名,対象,分類,概要,概要・提供内容,情報ソース,優先度,備考・更新
D1,Hansem Global,直接,Digital Manual,,IVI向けWebマニュアル。コネクテッド車向け動的Webマニュアル、PDF/Web同時出版。Hyundai Mobisとの実績。多言語・検索・マルチデバイス対応。,hansem.com / 事例（Hyundai Mobis）,高,
D2,Quark Publishing Platform (QPP),直接,CCMS,,自動車メーカー向けオーナー・ワークショップマニュアルの制作・一元管理。XML/CCMS、Word連携、コンポーネント再利用。,Quark case study (automotive),高,
D3,MSX International - pubFoundry,直接,CCMS,,自動車向け技術コンテンツ管理。執筆・管理・マルチチャネル配信、レビュー、分析。,msxi.com pubFoundry,高,
D4,Documoto,直接,CCMS,,インタラクティブな部品マニュアル・デジタル部品カタログ。OEM・アフターマーケット向け。ポータル・ERP/EAM連携。,documoto.com,中,部品・整備寄り。取説全体は間接的
D5,RWS - Contenta Publishing Suite,直接,CCMS,,技術文書管理（S1000D等）。航空・防衛中心だが複雑な技術文書のクラウド管理。自動車事例は要確認。,rws.com/contenta,中,
D6,Veryon,直接,CCMS,,OEM向け技術出版物管理。航空等が中心。自動車展開は要確認。,veryon.com,低,
D7,Kore.ai,直接,AI UX,,"エンタープライズ向けConversational AIプラットフォーム
音声・チャットボット・Agentic AI構築基盤
ナレッジ検索、ワークフロー連携、LLM統合
CX（顧客対応）・EX（従業員支援）用途が中心

文脈理解型対話UIを構築可能
ただし車両データ・VIN連動などドメイン特化は弱い",,,社内ヒアリング・展示会で追加
D8,ServiceNow,直接,AI UX,,"ワークフロー管理プラットフォーム
Knowledge Management、Virtual Agent、Now Assist（生成AI）
ITSMだけでなく顧客体験管理へ拡張中
Automotive向けソリューションあり

ユーザー問い合わせを起点に体験を構築する思想
車両コンテキストには未対応",,,
D9,Coveo,直接,AI UX,,"AI検索・レコメンドエンジン
ナレッジベース統合・行動ログ分析
パーソナライズ検索とNext Best Action生成
Salesforce・ServiceNow等と連携

検索UXとしては非常に近い思想
ただし車両データ連動が無い",,,
D10,Salesforce,直接,AI UX,,"CRM基盤＋AI（Einstein / Data Cloud）
Automotive Cloudで車両・顧客データ統合
サービス履歴・顧客接点・マーケ連携

顧客中心の体験最適化は強力
取扱説明・操作ガイドのドメイン知識は弱い",,,
D11,Siemens Xcelerator,潜在,設計・製造・現場,工作機械 / 建機 / 農機,"デジタルツイン＋操作ガイド
UIヘルプが作業フローに統合
ナレッジ＋IoT＋AI",,,
D12,PTC Vuforia Expert Capture,潜在,設計・製造・現場,工作機械 / 農機 / 建機,"AR手順ガイド
ステップバイステップ作業支援
ServiceMaxなどと連携",,,
I1,トヨタ - T-Connect オーナーズマニュアル / manual.toyota.jp,間接,Digital Manual,,デジタル取説（HTML等）。My TOYOTA+アプリ連携。車種別取扱説明書サイト。,toyota.jp / manual.toyota.jp,高,OEM内製。ベンチマーク対象
I2,トヨタ - エージェント（音声対話）,間接,AI UX,,車載AI音声「ヘイ、トヨタ」。ナビ・情報・操作。取説QAは拡張余地あり。,toyota.jp T-Connect,高,
I3,日産 - 電子取扱説明書,間接,Digital Manual,,HTML/PDF/動画。モデル・年式で検索。,nissan.co.jp,高,OEM内製
I4,三菱自動車 - 取扱説明書,間接,Digital Manual,,PDF/HTML、車種別。スマホ連携ナビ説明・動画あり。,mitsubishi-motors.co.jp,中,OEM内製
I5,Ford - Digital Owner's Manual,間接,Digital Manual,,車載センターコンソール標準。検索・動画ストリーミング（F-150等）。,Ford Media,高,OEM内製
I6,Volvo - Digital Owner's Manual,間接,Digital Manual,,車載ディスプレイ内。検索・カテゴリ・ホットスポット。,volvocars.com support,中,OEM内製
I7,GM - In-Vehicle Technology Library,間接,Platform,,インフォテインメント・OnStar・安全等の公式コンテンツ。ディーラー・社内向け。,gmglobalinfotainmentlibrary.com,中,OEM内製
I8,Hyundai - Owner's Manual (Web),間接,Digital Manual,,Web版オーナーズマニュアル。Bluelink等と連携。HansemとMobisでIVIマニュアル実績。,ownersmanual.hyundai.com / hansem case,高,
I9,Toyota (北米) - Interactive Manual,間接,Digital Manual,,BZ4X等。症状ベース検索等のインタラクティブ取説。,toyota.com owners,高,
