guide_id,guide_type,title,estimated_time,risk_level,notes,json_path,difficulty,source_type
GUIDE-KEY-BATTERY,procedure,スマートキー電池交換方法,10min,low,電池交換の詳細手順,,,
GUIDE-MECHANICAL-KEY,procedure,機械キーでの開錠方法,5min,low,緊急時の即時対応,,,
GUIDE-MECHANICAL-KEY-LOCATION,explanation,機械キーの取り出し方・保管場所,3min,low,機械キーの場所案内,,,
GUIDE-BATTERY-ISSUE,procedure,バッテリー上がり時の対応,15min,medium,ジャンプスタートまたはロードサービス,,,
GUIDE-JUMP-START,procedure,ジャンプスタート手順,15min,medium,詳細なジャンプスタート方法,,,
GUIDE-BRAKE-SAFETY,alert,走行を控え販売店に連絡してください,immediate,high,安全最優先の警告,,,
GUIDE-TIRE-EMERGENCY,procedure,スペアタイヤまたは修理キットの使用,20min,high,緊急時のタイヤ対応,,,
GUIDE-SENSOR-CLEANING,procedure,センサー清掃方法,5min,low,先進機能のセンサーメンテナンス,,,
GUIDE-EMERGENCY-OPEN,procedure,緊急開錠方法,5min,low,即時対応手順,,,
GUIDE-CAUSE-EXPLANATION,explanation,原因の詳細説明,3min,low,理解促進,,,
GUIDE-DIY-PROCEDURE,procedure,自分で対応する手順,10min,low,DIY対応,,,
GUIDE-CONTACT-SUPPORT,contact,販売店・ロードサービス連絡先,1min,low,サポート連絡,,,
GUIDE-TEMP-WORKAROUND,procedure,一時的な回避策,5min,low,後回し対応,,,
GUIDE-DOOR-LOCK-FAILURE,alert,ドアロック故障時の対応,2min,high,販売店連絡推奨,,,
GUIDE-RADIO-INTERFERENCE,procedure,電波干渉時の対応方法,5min,low,キーを近づける等の対応,,,
GUIDE-EMERGENCY-SERVICE,contact,ロードサービス連絡先,1min,high,緊急連絡先一覧,,,
GUIDE-PREVENTION,explanation,予防策・定期点検ガイド,5min,low,再発防止のための案内,,,
GUIDE-KEY-REPAIR,contact,スマートキー修理・交換,2min,low,販売店でのキー対応,,,
GUIDE-001,procedure,パーキングブレーキ解除方法,5min,low,,guide_content/GUIDE-001_content.json,easy,xml_based
GUIDE-002,information,パーキングブレーキ故障時の対応,5min,low,,guide_content/GUIDE-002_content.json,easy,xml_based
GUIDE-003,checklist,ブレーキ液補充方法,5min,low,,guide_content/GUIDE-003_content.json,easy,xml_based
GUIDE-004,link_collection,ブレーキシステム異常時の対応,5min,low,,guide_content/GUIDE-004_content.json,easy,system_generated
GUIDE-005,procedure,安全な停車方法,5min,low,,guide_content/GUIDE-005_content.json,medium,xml_based
GUIDE-006,contact_service,販売店連絡先,5min,low,,guide_content/GUIDE-006_content.json,easy,system_generated
GUIDE-007,procedure,緊急時の連絡先,5min,low,,guide_content/GUIDE-007_content.json,medium,xml_based
GUIDE-008,troubleshooting,定期点検の案内,5min,low,,guide_content/GUIDE-008_content.json,easy,xml_based
GUIDE-001,procedure,機械キーの取り出し方,5min,low,,guide_content/GUIDE-001_content.json,easy,xml_based
GUIDE-002,information,機械キーの場所・保管方法,5min,low,,guide_content/GUIDE-002_content.json,easy,xml_based
GUIDE-003,checklist,事前準備物（マイナスドライバー・小さいマイナスドライバー・CR2450電池）,5min,low,,guide_content/GUIDE-003_content.json,easy,xml_based
GUIDE-004,link_collection,電池購入方法（オンライン購入・近くの店舗検索）,5min,low,,guide_content/GUIDE-004_content.json,easy,system_generated
GUIDE-005,procedure,電池交換手順（注意: 部品破損のおそれあり）,5min,low,,guide_content/GUIDE-005_content.json,medium,xml_based
GUIDE-006,contact_service,販売店予約・連絡先,5min,low,,guide_content/GUIDE-006_content.json,easy,system_generated
GUIDE-007,procedure,ジャンプスタート手順,5min,low,,guide_content/GUIDE-007_content.json,medium,xml_based
GUIDE-008,troubleshooting,電波干渉時の対応（キーを車体に近づける）,5min,low,,guide_content/GUIDE-008_content.json,easy,xml_based
GUIDE-009,procedure,キー修理・交換手続き,5min,low,,guide_content/GUIDE-009_content.json,easy,xml_based
GUIDE-010,troubleshooting,ドアロック故障時の対応,5min,low,,guide_content/GUIDE-010_content.json,medium,xml_based
GUIDE-011,contact_service,ロードサービス連絡先・依頼方法,5min,low,,guide_content/GUIDE-011_content.json,easy,xml_based
GUIDE-012,contact_service,販売店連絡先・営業時間,5min,low,,guide_content/GUIDE-012_content.json,easy,system_generated
GUIDE-013,information,予防策・定期点検の案内,5min,low,,guide_content/GUIDE-013_content.json,easy,xml_based
