ファイル名,セクションID,要素タイプ,テキスト内容,カテゴリ,サブカテゴリ,提供方法,優先度,新カテゴリ,新サブカテゴリ,新提供方法,新優先度
M52P95tojpjavhax01.xml,ax01,title,ガソリンスタンドでの情報,仕様情報,規格・種類,デジタル記録,中,⑤_スペック・仕様・固有値,規格・種類,デジタル記録,中
M52P95tojpjavhax01.xml,ax010301,paratabletxt,給油や交換などの際に必要になる項目をまとめてあります。,機能の使い方・操作方法,基本操作,体験OS化,中,⑤_スペック・仕様・固有値,容量・数量,デジタル記録,中
M52P95tojpjavhax01.xml,ax010301,p,タイヤが冷えているときの空気圧,機能の使い方・操作方法,基本操作,体験OS化,中,⑤_スペック・仕様・固有値,容量・数量,デジタル記録,中
M52P95tojpjavhax01.xml,ax010301,p,エンジンオイル容量（参考値）,機能の使い方・操作方法,基本操作,体験OS化,中,⑤_スペック・仕様・固有値,容量・数量,デジタル記録,中
M52P95tojpjavhax01.xml,ax010301,p,トヨタ純正モーターオイル,機能の使い方・操作方法,基本操作,体験OS化,中,⑤_スペック・仕様・固有値,規格・種類,デジタル記録,中
M52P95tojpjavhax01.xml,ax010301,p,燃料の容量（参考値）,機能の使い方・操作方法,基本操作,体験OS化,中,⑤_スペック・仕様・固有値,容量・数量,デジタル記録,中
M52P95tojpjavhax01.xml,ax010301,p,エンジンオイルの種類,機能の使い方・操作方法,基本操作,体験OS化,中,⑤_スペック・仕様・固有値,容量・数量,デジタル記録,中
M52P95tojpjavhax01.xml,ax010301,p,燃料の種類,機能の使い方・操作方法,基本操作,体験OS化,中,⑤_スペック・仕様・固有値,容量・数量,デジタル記録,中
M52P95tojpjavhax01.xml,ax010301,p,36L,機能の使い方・操作方法,基本操作,体験OS化,中,⑤_スペック・仕様・固有値,容量・数量,デジタル記録,中
M52P95tojpjavhax01.xml,ax010301,itemtxt,バイオ混合ガソリン（レギュラー） ※,機能の使い方・操作方法,基本操作,体験OS化,中,⑤_スペック・仕様・固有値,規格・種類,デジタル記録,中
M52P95tojpjavhax01.xml,ax010301,itemtxt,無鉛レギュラーガソリン,機能の使い方・操作方法,基本操作,体験OS化,中,⑤_スペック・仕様・固有値,規格・種類,デジタル記録,中
M52P95tojpjavhax01.xml,ax010301,callouttxt,給油扉オープナースイッチ（→ ）,機能の使い方・操作方法,基本操作,体験OS化,中,⑤_スペック・仕様・固有値,容量・数量,デジタル記録,中
M52P95tojpjavhax01.xml,ax010301,callouttxt,ボンネット解除レバー（→ ）,機能の使い方・操作方法,基本操作,体験OS化,中,⑤_スペック・仕様・固有値,容量・数量,デジタル記録,中
M52P95tojpjavhax01.xml,ax010301,callouttxt,ボンネットフック（→ ）,機能の使い方・操作方法,基本操作,体験OS化,中,⑤_スペック・仕様・固有値,容量・数量,デジタル記録,中
M52P95tojpjavhax01.xml,ax010301,callouttxt,タイヤ空気圧（→ ）,機能の使い方・操作方法,基本操作,体験OS化,中,⑤_スペック・仕様・固有値,容量・数量,デジタル記録,中
M52P95tojpjavhax01.xml,ax010301,callouttxt,給油口（→ ）,機能の使い方・操作方法,基本操作,体験OS化,中,⑤_スペック・仕様・固有値,容量・数量,デジタル記録,中
M52P95tojpjavhax01.xml,ax010301,footnote,エタノールの混合率10％以下、またはETBEの混合率22％以下のガソリン（酸素含有率3.7％以下）を使用することができます。,機能の使い方・操作方法,基本操作,体験OS化,中,⑤_スペック・仕様・固有値,規格・種類,デジタル記録,中
M52P95tojpjavhch01.xml,ch01,title,安全・安心のために,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01,title,安全にお使いいただくために,参考情報,その他,RAGシステム,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se010401,title,運転する前に,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se0104010501,paratabletxt,お車を安全に運転していただくために、運転する前は必ず次のことを確認してください。,参考情報,その他,RAGシステム,中,④_メンテナンス・点検指示,日常点検,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se0104010502,title,点検整備,法規制・法的責任関連,法的義務,デジタル記録,中,③_法規制・コンプライアンス,法的義務,デジタル記録,高
M52P95tojpjavhch01.xml,ch01se01040105020601,p,日常点検整備や定期点検整備は、お客様の責任において実施していただくことが法律で義務付けられています。適切な時期に点検整備を実施し、車に異常がないことを確認してください。,法規制・法的責任関連,法的義務,デジタル記録,高,②_リスク・危険・注意,注意事項,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se0104010503,title,フロアマット,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040105030601,p,専用のフロアマットを、フロアカーペットの上にしっかりと固定してお使いください。,参考情報,その他,RAGシステム,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se01040105030601,p,マーク を必ず合わせてください。,参考情報,その他,RAGシステム,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se01040105030601,steptxt,固定フック（クリップ）上部のレバーをまわして、フロアマットを固定する,参考情報,その他,RAGシステム,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se01040105030601,steptxt,固定フック（クリップ）にフロアマット取り付け穴をはめ込む,参考情報,その他,RAGシステム,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se0104010503060107011201,attention_para,次のことを必ずお守りください。 お守りいただかないと、フロアマットがずれて運転中に各ペダルと干渉し、思わぬスピードが出たり車を停止しにくくなるなど、事故の原因になり重大な傷害におよぶか、最悪の場合死亡につながるおそれがあります。,安全情報・警告,危険警告,体験OS化,高,②_リスク・危険・注意,危険警告,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se0104010503060107011202,attention_para,運転席にフロアマットを敷くとき トヨタ純正品であっても、他車種および異なる年式のフロアマットは使用しない,仕様情報,規格・種類,デジタル記録,中,②_リスク・危険・注意,禁止事項,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se0104010503060107011203,attention_para,運転席専用のフロアマットを使用する,参考情報,その他,RAGシステム,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se0104010503060107011204,attention_para,固定フック（クリップ）を使って、常にしっかりと固定する,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se0104010503060107011205,attention_para,他のフロアマット類と重ねて使用しない,安全情報・警告,禁止事項,体験OS化,中,②_リスク・危険・注意,禁止事項,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se0104010503060107011206,attention_para,フロアマットを前後逆さまにしたり、裏返して使用しない,安全情報・警告,禁止事項,体験OS化,中,②_リスク・危険・注意,禁止事項,プロアクティブ通知,最高
