優先度,No,カテゴリ,質問項目,仮説,確認意図,想定される回答パターン,対応方針
最優先,Q1,課題認識,レクサスオーナーの困りごとは？,オーナーは警告灯の意味・機能の使い方で困っている,課題がなければ提案する意味がない。課題の存在確認が最優先。,A: コールセンター問い合わせが多い（年間XX件） / B: 特に大きな問題はない / C: 把握していない,A→深掘り / B→潜在課題を探る / C→データ収集から提案
最優先,Q1-1,課題認識（詳細）,コールセンターへの問い合わせTOP10は？,操作方法・警告灯・機能説明が上位を占める,課題の具体化。どの領域で困っているかを特定。,操作方法40% / 警告灯の意味20% / 機能の使い方15% / メンテナンス10% / その他15%,問い合わせ内容から弊社システムで解決できる領域を特定
最優先,Q1-2,課題認識（詳細）,取扱説明書に関する課題は？,分厚すぎる・探せない・理解できない,デジタル化・AI化のニーズ確認。,ページ数が多すぎる（500ページ超） / 必要な情報が見つからない / 専門用語が難しい / 読む時間がない,弊社の「知識OS」の価値を訴求
最優先,Q1-3,課題認識（詳細）,SDV複雑化への懸念は？,OTA更新で機能が増えると説明が追いつかない懸念,SDV時代の本質的課題の認識確認。,A: 非常に懸念している / B: まだ顕在化していない / C: 計画がある,A→弊社の強み訴求 / B→先手を打つ提案 / C→詳細確認
最優先,Q2-3,現状データ,安全機能（LSS+等）の利用率は？【最重要】,10-30%程度（推定）,機能活用促進の余地確認。最も重要な指標。,A: 具体的な数字あり（例：25%） / B: 把握していない / C: ほとんどのオーナーが使っている,A→向上目標設定 / B→測定方法提案 / C→根拠確認
最優先,Q3,ブランド差別化,レクサスらしさとは？トヨタとの差別化は？,「おもてなし」「プレミアム体験」「パーソナライゼーション」を重視,提案内容のカスタマイズに必須。トーンとメッセージの調整。,A: おもてなし・きめ細やかさ / B: 先進技術・革新性 / C: 安心感・信頼性 / D: ステータス・高級感,A→パーソナライゼーション強調 / B→AI技術強調 / C→実績強調 / D→プレミアム感の演出
最優先,Q3-1,ブランド差別化,トヨタは「安全安心」最重視だが、レクサスは？,レクサスも安全重視だが「体験」「快適性」も重視,レクサス固有の価値提供を理解。,安全は大前提・その上でプレミアム体験 / トヨタより一歩先の先進性 / オーナーとの深い関係性 / コンシェルジュのような存在,レクサスの価値観に沿った提案を設計
最優先,Q4,技術基盤,レクサスもArene使用？展開タイミングは？【最重要】,レクサスもArene使用（トヨタと同じ基盤）,Arene統合戦略の大前提。これがNoなら戦略変更。,A: レクサスもArene使用（20XX年展開予定） / B: トヨタと共通だがカスタマイズあり / C: レクサス独自のOS / D: まだ決まっていない,A→戦略そのまま / B→差分確認 / C→戦略大幅変更 / D→Phase1先行強調
重要,Q5,情報更新計画,OTA更新時の説明書更新は？計画は？,まだ計画がない、または手動で対応予定,SDVの本質的課題。弊社の強みが最も活きる領域。,A: まだ計画がない・困っている / B: 手動で都度作成予定 / C: 自動化を検討中 / D: すでに仕組みがある,A→大チャンス / B→非効率性指摘 / C→弊社案提示 / D→詳細確認
重要,Q5-1,情報更新計画,機能追加の頻度は？更新頻度は？,四半期ごと、または半年ごと,運用負荷の算定。,四半期ごとに機能追加 / 年2-3回の大型更新 / まだ未定,頻度に応じて運用コストを試算
重要,Q6,弊社への期待,解決したい優先課題は？,コールセンターコスト削減、オーナー満足度向上,提案の方向性決定。KPI設定。,A: コスト削減（コールセンター・ディーラー対応） / B: 顧客満足度向上 / C: 安全機能の利用率向上 / D: ブランド価値向上,A→ROI試算重視 / B→UX重視 / C→データ分析重視 / D→プレミアム体験重視
重要,Q6-1,弊社への期待,期待する効果・KPIは？,コールセンターコスト30%削減、NPS+15pt向上,成功の定義を明確化。,問い合わせ削減XX% / 顧客満足度XX点向上 / 安全機能利用率XX%向上 / 具体的なKPIはこれから,KPIを合意して提案に反映
重要,Q6-2,弊社への期待,予算感・投資意欲は？,数千万円から1億円程度の投資は可能（PoC→本格展開）,予算制約の確認。提案スコープの調整。,A: 効果が見えれば億単位も可能 / B: まずは小規模から（数百万円） / C: まだ未定・効果次第 / D: 予算は厳しい,A→フル提案 / B→PoC重視 / C→段階的提案 / D→費用対効果を強調
重要,Q7,表示・出力,HUD・MMへの表示想定？音声案内は？,HUD対応が理想だが、まずはMM（マルチメディア）,UI/UX設計への影響確認。,A: HUD対応を強く希望 / B: MM（センターディスプレイ）で十分 / C: 音声案内が重要 / D: スマホでも可,A→HUD設計必要 / B→標準設計 / C→音声UI重視 / D→Phase1推奨
