No,Type,Title,Core,Detail
1,cover,Digital Owner's Informationご提案,
2,concept,取扱説明書をなくす。,私たちが取扱説明書をつくり続ける目的は「誰もが迷うことなく、安心して製品を、最大限に使いこなせる体験」の提供,
3,vision,WITH AFRICA FOR AFRICA×Digital Owner's Information,情報でユーザー中心の利用体験をつくり、デジタル資産化することでアフリカモビリティ市場の成長を支援,
4,opportunity,情報を資産化する機会,情報をデジタル資産化することで、商社としての競争力強化とコスト削減の両立が可能になる,"【現状】情報は配布物として固定化され、ユーザーに使われていない/資産化されていない。アフリカ地域での多言語対応、現地サポート、代理店教育に多大なコストと労力がかかっている。紙マニュアルの印刷・翻訳・配送コストが継続的に発生し、更新も困難。【機会】情報をデジタル資産化することで、①年間1億円規模のコスト削減（印刷・翻訳・サポート費）、②販売競争力の強化（AI搭載デジタルマニュアルによる差別化）、③販売代理店サポートの効率化（教育コスト-50%、サービス品質の均一化）、④現地サポート体制の効率化（遠隔サポート強化、故障診断の迅速化）が実現できる。"
5,value,顧客A様が得られる価値,コスト削減・販売競争力強化・代理店サポート効率化・現地サポート体制の効率化,"【コスト削減】年間1億円規模のコスト削減を実現。①印刷コスト削減（1台あたり5,000円→0円）、②翻訳コスト削減（AI自動翻訳により80%削減）、③サポートコスト削減（問い合わせ対応の自動化により60%削減）、④物流コスト削減（マニュアル輸送費が不要）。【販売競争力の強化】AI搭載デジタルマニュアルで他社と差別化。24時間365日・多言語でサポート可能となり、顧客満足度+30%、リピート購入率+20%を実現。販売促進材料としても活用可能。【販売代理店サポートの強化】AIが製品知識を自動提供し、教育コスト-50%。全代理店で同じ高品質サポートを実現し、代理店満足度+40%。リアルタイム情報共有により製品アップデート情報を即座に配信。【現地サポート体制の効率化】AIが一次対応し、必要時のみ人が介入。AIによる自動診断でサポート対応時間-70%（平均2時間→30分）。故障予測による部品在庫最適化で在庫コスト-30%。"
6,roadmap,ROAD MAP,電子化→AI対話→文脈理解→自律行動で変化する,
7,insight,OM情報の役割,PLに関する情報：漏れなく、固定で、確実に残す　CSに関する情報：ユーザーの状況に合わせて必要な時に、必要な形で届ける,
8,case,AI Chatbot PoC,ユーザー接点創出とログデータ取得,
9,case,Owner's App,製品化されたAppへのAI Chatbot導入,
10,case,小冊子化,印刷費削減が可能,
11,plan,PoC案：CS情報の体験化による現場負荷低減＋UX向上,PoC実施でKPI計測（理解度向上、一次解決率、問合せ削減、対応負荷削減など）,
12,plan,PoC案：CS情報の体験化による現場負荷低減＋UX向上,PoC実施の対象車種、対象国、対象販売店の選定基準,
13,schedule,PoC案：CS情報の体験化による現場負荷低減＋UX向上,約9か月のPoC準備～実施,
